Nº Registro;Denominación;Fecha última modificación;Dirección;Código Postal;Localidad;Provincia;Teléfono;Email;Web;Naturaleza;Ambito Sectorial;Destinatarios
A-0449;ASOCIACION JUVENIL PUZZLES;25/06/20;CALLE REAL 30;24930;VILLAVERDE LA CHIQUITA;LEON;647 723641;asociacionjuvenilpuzzles@gmail.com;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, DEPORTIVAS, FOMENTO DEL VOLUNTARIADO;INFANCIA, DISCAPACIDAD PSIQUICA, JUVENTUD
A-0450;ASOCIACIÓN SÍNDROME DE TURNER ALEJANDRA SALAMANCA (ASTAS CYL);22/12/20;PASEO GRAN CAPITAN 53 CASA DE LAS ASOCIACIONES;37006;SALAMANCA;SALAMANCA;665 049621;ast.alegran @gmail.com;www.asociacionturneralejandra.es;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, CULTURALES;INFANCIA, (MUJER), JUVENTUD
A-0451;ASOCIACION ZAMORANA DE AYUDA FRENTE AL CANCER. AZAYCA;03/09/20;CALLE MARTINEZ VILLERGAS  2-B 3A;49003;ZAMORA;ZAMORA;605 472166;azaycazamora@gmail.com;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, SANITARIAS;POBLACIÓN GENERAL, VOLUNTARIADO
A-0452;ASOCIACION DE JUGADORES EN RECUPERACIÓN EL AZAR;14/10/20;AVENIDA SAN TELMO 21 PLANTA 1;34004;PALENCIA;PALENCIA;646 132225;ASOCIACIONELAZAR@GMAIL COM;ASOCIACIONELAZAR.ES;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;POBLACIÓN GENERAL, VOLUNTARIADO
A-0453;MÉDICOS DEL MUNDO - DELEGACIÓN DE CASTILLA Y LEÓN;24/11/20;CALLE MARIANO JOSÉ DE LARRA, 42 BAJO LOCAL 1;47013;VALLADOLID;VALLADOLID;689 700213;castillayleon@medicosdelmundo.org;WWW.medicosdelmundo.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, SANITARIAS, DEFENSA DE LOS DERECHOS HUMANOS;EXCLUSION SOCIAL, [PERSONAS INMIGRANTES, REFUGIADAS Y ASILADAS]
A-0454;CAPACIDAD POSITIVA;13/11/20;CARRETERA PONFERRADA- LA ESPINA 32;24410;CABOALLES DE ABAJO;LEON;691 789122;capacidadpositiva20@gmail.com;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;DISCAPACIDAD PSIQUICA, DISCAPACIDAD SENSORIAL, VOLUNTARIADO
B-0455;AYUNTAMIENTO DE VALLADOLID;07/01/21;PLAZA MAYOR, 1;47001;VALLADOLID;VALLADOLID;983 426100;ctorrecilla@ava.es;www.ava.es;ADMINISTRACIÓN LOCAL;ACCION SOCIAL Y SERVICIOS SOCIALES;PERSONAS MAYORES
A-0456;SOCIAL INNOVATION CLUSTER FOR CHANGE;09/02/21;CALLE BAJADA DE POZO DE LA NIEVE, 1;40003;SEGOVIA;SEGOVIA;647 752250;bperez@sic4change.org;www.sic4change.org;ASOCIACIÓN;FOMENTO DEL VOLUNTARIADO, COOPERACION AL DESARROLLO;POBLACIÓN GENERAL
A-0457;CONSEJO LOCAL DE JUVENTUD DE ZAMORA;04/03/21;AVENIDA PLAZA TOROS S/N;49007;ZAMORA;ZAMORA;638 933105;consejozamorarrss@gmail.com;cljzamora.es;ASOCIACIÓN;FOMENTO DEL VOLUNTARIADO, EDUCATIVAS;EXCLUSION SOCIAL, INFANCIA, JUVENTUD, VOLUNTARIADO
A-0458;JUNT@S ALOJAMIENTO SOCIOCOLABORATIVO;13/04/21;CALLE MAYOR PRINCIPAL ,110 - 3ºD;34001;PALENCIA;PALENCIA;616 906603;juntos.alojamiento@gmail.com;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;PERSONAS MAYORES
